Time,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6
0.0000,-2.3413,-0.1901,16.4249,13.2639,8.7853,4.9860,7.0482,-0.1851,0.3289,-14.6189,7.3809,3.1186,-0.2952,5.3212,14.0769,11.4452,5.0041,11.9270,8.4819,9.6723,1.9662,6.4165,1.4835,7.0515,1.2261
1.0000,-1.5991,1.8203,15.9083,11.2590,8.2118,4.5402,6.6433,-0.4837,0.9125,-14.3689,7.1672,3.1479,1.7768,6.3485,13.6110,11.2116,4.8730,11.4978,7.7836,9.2932,1.6833,5.6732,1.4500,6.0340,0.1122
2.0000,-0.4897,4.3415,14.9003,8.4089,7.4133,3.8460,6.1128,-0.8895,1.6222,-14.0928,6.7010,3.0935,4.4314,7.5797,12.7307,10.7774,4.6151,10.7557,6.7118,8.7032,1.2252,4.5652,1.2612,4.7419,-1.2547
3.0000,0.9828,7.1260,13.3027,4.8078,6.3692,2.8790,5.4338,-1.4267,2.3566,-13.8896,5.9341,2.9305,7.4312,8.7822,11.3605,10.0911,4.1695,9.6497,5.2622,7.8734,0.5520,3.0781,0.9486,3.2130,-2.7544
4.0000,2.7657,9.8543,11.0732,0.6451,5.0696,1.6416,4.5748,-2.1330,2.9664,-13.8956,4.8609,2.6497,10.4394,9.6479,9.4747,9.1167,3.4741,8.1585,3.4716,6.7893,-0.3636,1.2350,0.5747,1.5027,-4.2605
5.0000,4.7597,12.1995,8.2413,-3.8244,3.5234,0.1682,3.5063,-3.0509,3.2806,-14.2554,3.5263,2.2607,13.0815,9.8643,7.1098,7.8462,2.4826,6.3002,1.4146,5.4577,-1.5263,-0.9017,0.2088,-0.3185,-5.6658
6.0000,6.8303,13.8959,4.9122,-8.3218,1.7659,-1.4758,2.2137,-4.2102,3.1469,-15.0831,2.0215,1.7908,15.0227,9.2011,4.3654,6.3073,1.1815,4.1361,-0.8072,3.9125,-2.9102,-3.2346,-0.0994,-2.1690,-6.8990
7.0000,8.8319,14.7947,1.2525,-12.5889,-0.1383,-3.2011,0.7113,-5.6096,2.4742,-16.4237,0.4649,1.2776,16.0441,7.5879,1.3915,4.5655,-0.3969,1.7657,-3.0802,2.2163,-4.4569,-5.6432,-0.3389,-3.9623,-7.9287
8.0000,10.6373,14.8916,-2.5376,-16.4261,-2.0993,-4.9064,-0.9514,-7.2026,1.2657,-18.2268,-1.0264,0.7574,16.0973,5.1583,-1.6369,2.7170,-2.1723,-0.6864,-5.2950,0.4544,-6.0808,-8.0012,-0.5404,-5.6166,-8.7551
9.0000,12.1687,14.3201,-6.2618,-19.7175,-4.0132,-6.4936,-2.6915,-8.8940,-0.3681,-20.3432,-2.3667,0.2538,15.3228,2.2431,-4.5505,0.8750,-4.0248,-3.0902,-7.3607,-1.2752,-7.6815,-10.1964,-0.7626,-7.0667,-9.3950
10.0000,13.4192,13.3121,-9.7623,-22.4373,-5.7798,-7.8822,-4.4050,-10.5504,-2.2232,-22.5468,-3.5236,-0.2297,14.0260,-0.6916,-7.2154,-0.8491,-5.8158,-5.3321,-9.2134,-2.8780,-9.1599,-12.1477,-1.0637,-8.2753,-9.8665
11.0000,14.4594,12.1387,-12.9445,-24.6362,-7.3191,-9.0191,-5.9855,-12.0234,-4.0408,-24.5783,-4.5242,-0.7103,12.6114,-3.1467,-9.5538,-2.3637,-7.4130,-7.3316,-10.8185,-4.2775,-10.4349,-13.8149,-1.4703,-9.2401,-10.1791
12.0000,15.4221,11.0461,-15.7816,-26.4126,-8.5844,-9.8819,-7.3440,-13.1802,-5.5620,-26.2010,-5.4408,-1.2171,11.4922,-4.7088,-11.5479,-3.6101,-8.7151,-9.0500,-12.1644,-5.4265,-11.4546,-15.1975,-1.9530,-9.9923,-10.3324
13.0000,16.4683,10.2042,-18.2992,-27.8715,-9.5649,-10.4741,-8.4240,-13.9313,-6.5843,-27.2513,-6.3599,-1.7758,10.9948,-5.1497,-13.2277,-4.5654,-9.6680,-10.4862,-13.2522,-6.3098,-12.1999,-16.3223,-2.4204,-10.5847,-10.3216
14.0000,17.7403,9.6818,-20.5421,-29.0836,-10.2772,-10.8139,-9.2055,-14.2479,-7.0042,-27.6706,-7.3426,-2.3904,11.2820,-4.4788,-14.6442,-5.2357,-10.2674,-11.6614,-14.0817,-6.9377,-12.6783,-17.2212,-2.7342,-11.0713,-10.1466
15.0000,19.3161,9.4516,-22.5344,-30.0525,-10.7473,-10.9185,-9.6972,-14.1618,-6.8338,-27.5085,-8.3890,-3.0279,12.3145,-2.9302,-15.8371,-5.6400,-10.5462,-12.5963,-14.6391,-7.3311,-12.9094,-17.9073,-2.7420,-11.4818,-9.8166
16.0000,21.1759,9.4217,-24.2444,-30.6989,-10.9882,-10.7902,-9.9197,-13.7463,-6.1855,-26.8943,-9.4190,-3.6121,13.8605,-0.8864,-16.8052,-5.7916,-10.5521,-13.2889,-14.8890,-7.5034,-12.9076,-18.3553,-2.3181,-11.8005,-9.3482
17.0000,23.1945,9.4828,-25.5683,-30.8668,-10.9820,-10.4059,-9.8843,-13.0846,-5.2305,-25.9871,-10.2764,-4.0286,15.5516,1.2404,-17.4902,-5.6805,-10.3201,-13.6979,-14.7744,-7.4439,-12.6665,-18.4935,-1.3991,-11.9547,-8.7544
18.0000,25.1630,9.5539,-26.3370,-30.3525,-10.6719,-9.7164,-9.5766,-12.2337,-4.1423,-24.9171,-10.7594,-4.1433,16.9717,3.1348,-17.7799,-5.2663,-9.8517,-13.7417,-14.2234,-7.1105,-12.1507,-18.2123,-0.0026,-11.8212,-8.0278
19.0000,26.8358,9.6148,-26.3487,-28.9502,-9.9694,-8.6532,-8.9512,-11.1976,-3.0426,-23.7391,-10.6679,-3.8290,17.7567,4.6737,-17.5298,-4.4820,-9.1057,-13.3110,-13.1636,-6.4333,-11.2992,-17.3887,1.7782,-11.2501,-7.1259
20.0000,27.9917,9.7149,-25.4183,-26.5060,-8.7767,-7.1456,-7.9407,-9.9196,-1.9670,-22.4123,-9.8567,-2.9943,17.6796,5.9597,-16.5997,-3.2514,-8.0072,-12.2960,-11.5391,-5.3310,-10.0396,-15.9211,3.8013,-10.1013,-5.9669
21.0000,28.4902,9.9577,-23.4308,-22.9653,-7.0183,-5.1410,-6.4775,-8.2977,-0.8608,-20.8162,-8.2770,-1.6080,16.7013,7.2802,-14.8947,-1.5138,-6.4716,-10.6201,-9.3291,-3.7363,-8.3110,-13.7655,5.9149,-8.2867,-4.4411
22.0000,28.3085,10.4690,-20.3839,-18.4047,-4.6732,-2.6268,-4.5241,-6.2229,0.3935,-18.7989,-5.9951,0.2889,14.9745,9.0008,-12.3987,0.7481,-4.4390,-8.2704,-6.5607,-1.6232,-6.0901,-10.9632,7.9966,-5.8041,-2.4397
23.0000,27.5438,11.3568,-16.4064,-13.0355,-1.7989,0.3534,-2.1001,-3.6282,1.9240,-16.2449,-3.1800,2.5864,12.8007,11.4234,-9.1914,3.4873,-1.9081,-5.3168,-3.3160,0.9707,-3.4117,-7.6508,9.9788,-2.7534,0.1052
24.0000,26.3826,12.6798,-11.7460,-7.1807,1.4624,3.6933,0.7006,-0.5348,3.8094,-13.1432,-0.0648,5.1237,10.5530,14.6514,-5.4441,6.5842,1.0410,-1.9137,0.2703,3.9348,-0.3796,-4.0469,11.8521,0.6712,3.1788
25.0000,25.0429,14.4304,-6.7295,-1.2252,4.8982,7.2285,3.7111,2.9199,6.0296,-9.6323,3.1089,7.7179,8.5847,18.5053,-1.3926,9.8548,4.2415,1.7197,4.0227,7.0927,2.8378,-0.4192,13.6473,4.2125,6.6565
26.0000,23.7072,16.5379,-1.7048,4.4465,8.2582,10.7535,6.7113,6.4843,8.4437,-6.0071,6.1461,10.1966,7.1474,22.5178,2.7034,13.0746,7.4582,5.3330,7.7433,10.2248,6.0266,2.9631,15.4031,7.5984,10.3002
27.0000,22.4694,18.8875,3.0205,9.5130,11.2982,14.0479,9.4648,9.8271,10.8033,-2.6802,8.9369,12.4260,6.3385,26.0155,6.6050,16.0138,10.4235,8.6876,11.2348,13.1028,8.9576,5.8782,17.1327,10.5934,13.7875
28.0000,21.3106,21.3473,7.2276,13.7624,13.8235,16.9078,11.7609,12.5994,12.7997,-0.1053,11.4672,14.3285,6.0899,28.2704,10.1312,18.4748,12.8853,11.5956,14.3245,15.5276,11.4227,8.1911,18.8021,13.0410,16.7674
29.0000,20.1158,23.7938,10.8098,17.1128,15.7220,19.1749,13.4538,14.5082,14.1331,1.3207,13.7992,15.8866,6.1989,28.6808,13.1799,20.3241,14.6543,13.9468,16.8834,17.3624,13.2679,9.8724,20.3302,14.8841,18.9328
30.0000,18.7260,26.1270,13.7665,19.6023,16.9772,20.7600,14.4881,15.3842,14.5852,1.3505,16.0273,17.1330,6.3911,26.9340,15.7268,21.5111,15.6390,15.7170,18.8394,18.5519,14.4176,10.9923,21.6112,16.1599,20.0918
31.0000,17.0119,28.2712,16.1717,21.3513,17.6602,21.6544,14.9030,15.2240,14.0749,-0.0480,18.2262,18.1322,6.3981,23.1036,17.8063,22.0692,15.8613,16.9556,20.1817,19.1256,14.8832,11.6927,22.5521,16.9706,20.2165
32.0000,14.9464,30.1668,18.1261,22.5104,17.9013,21.9271,14.8162,14.1951,12.6822,-2.6746,20.4055,18.9575,6.0284,17.6537,19.4788,22.0999,15.4469,17.7582,20.9542,19.1838,14.7572,12.1438,23.1131,17.4405,19.4562
33.0000,12.6505,31.7564,19.7097,23.2056,17.8523,21.7091,14.3913,12.6014,10.6337,-6.1305,22.4882,19.6715,5.2158,11.3468,20.7977,21.7452,14.5956,18.2316,21.2423,18.8702,14.1911,12.4985,23.3351,17.6717,18.1084
34.0000,10.3972,32.9774,20.9466,23.4985,17.6465,21.1675,13.7980,10.8167,8.2529,-9.8977,24.3180,20.3133,4.0327,5.0777,21.7827,21.1539,13.5379,18.4611,21.1529,18.3398,13.3657,12.8550,23.3439,17.7125,16.5531
35.0000,8.5670,33.7653,21.7932,23.3714,17.3705,20.4738,13.1753,9.2025,5.8896,-13.4430,25.6955,20.8950,2.6679,-0.3229,22.4092,20.4515,12.4887,18.4885,20.7925,17.7277,12.4566,13.2384,23.3274,17.5475,15.1670
36.0000,7.5662,34.0692,22.1509,22.7394,17.0509,19.7741,12.6069,8.0323,3.8463,-16.3230,26.4316,21.4058,1.3773,-4.2643,22.6148,19.7197,11.6088,18.3069,20.2483,17.1272,11.6052,13.6035,23.4908,17.1112,14.2388
37.0000,7.7265,33.8754,21.8998,21.4879,16.6601,19.1659,12.1132,7.4387,2.3207,-18.2627,26.4009,21.8221,0.4200,-6.5067,22.3209,18.9887,10.9823,17.8715,19.5752,16.5803,10.8982,13.8569,24.0034,16.3199,13.9086
38.0000,9.2159,33.2281,20.9415,19.5214,16.1371,18.6866,11.6619,7.3984,1.3774,-19.1926,25.5801,22.1170,-0.0017,-7.1802,21.4612,18.2443,10.6134,17.1222,18.7909,16.0812,10.3604,13.8906,24.9510,15.1112,14.1459
39.0000,11.9838,32.2361,19.2399,16.8122,15.4161,18.3154,11.1903,7.7549,0.9548,-19.2358,24.0597,22.2688,0.2155,-6.7116,20.0103,17.4438,10.4410,16.0117,17.8820,15.5906,9.9602,13.6177,26.3093,13.4782,14.7715
40.0000,15.7576,31.0585,16.8472,13.4327,14.4538,17.9874,10.6336,8.2719,0.9016,-18.6533,22.0252,22.2635,1.0598,-5.6833,18.0024,16.5384,10.3661,14.5304,16.8170,15.0550,9.6260,12.9989,27.9443,11.4865,15.5156
41.0000,20.0911,29.8673,13.9093,9.5638,13.2489,17.6161,9.9503,8.7022,1.0318,-17.7636,19.7149,22.0942,2.4177,-4.6640,15.5366,15.4939,10.2837,12.7202,15.5646,14.4273,9.2701,12.0554,29.6402,9.2713,16.0953
42.0000,24.4540,28.7957,10.6496,5.4767,11.8480,17.1189,9.1383,8.8523,1.1818,-16.8579,17.3658,21.7569,4.1095,-4.0597,12.7668,14.3051,10.1115,10.6758,14.1124,13.6820,8.8128,10.8635,31.1442,7.0123,16.2901
43.0000,28.3381,27.8868,7.3338,1.4924,10.3384,16.4399,8.2383,8.6273,1.2551,-16.1330,15.1658,21.2470,5.9381,-4.0209,9.8795,13.0016,9.8091,8.5321,12.4807,12.8238,8.2033,9.5364,32.2177,4.8972,15.9945
44.0000,31.3541,27.0614,4.2272,-2.0718,8.8303,15.5638,7.3253,8.0457,1.2438,-15.6555,13.2224,20.5582,7.7360,-4.4273,7.0654,11.6445,9.3844,6.4413,10.7283,11.8876,7.4330,8.1978,32.6784,3.0826,15.2359
45.0000,33.2961,26.1192,1.5515,-4.9544,7.4345,14.5202,6.4912,7.2234,1.2226,-15.3638,11.5573,19.6850,9.4013,-4.9491,4.4917,10.3148,8.8885,4.5471,8.9476,10.9318,6.5375,6.9556,32.4256,1.6653,14.1558
46.0000,34.1609,24.7804,-0.5487,-6.9909,6.2415,13.3757,5.8238,6.3346,1.3219,-15.1019,10.1255,18.6291,10.9118,-5.1587,2.2804,9.0987,8.3995,2.9602,7.2501,10.0265,5.5892,5.8828,31.4459,0.6692,12.9624
47.0000,34.1207,22.7617,-2.0241,-8.1357,5.3066,12.2182,5.3885,5.5612,1.6860,-14.6731,8.8493,17.4064,12.3174,-4.6617,0.4967,8.0711,8.0036,1.7415,5.7456,9.2398,4.6814,5.0084,29.8013,0.0515,11.8703
48.0000,33.4618,19.8687,-2.9211,-8.4620,4.6440,11.1371,5.2151,5.0464,2.4307,-13.8989,7.6559,16.0533,13.7132,-3.2075,-0.8520,7.2836,7.7740,0.8954,4.5196,8.6253,3.9077,4.3194,27.6087,-0.2761,11.0461
49.0000,32.5066,16.0791,-3.3672,-8.1420,4.2290,10.2039,5.2941,4.8637,3.6100,-12.6661,6.5062,14.6280,15.2002,-0.7530,-1.8082,6.7555,7.7558,0.3742,3.6150,8.2125,3.3412,3.7716,25.0171,-0.4189,10.5736
50.0000,31.5409,11.5899,-3.5434,-7.4136,4.0079,9.4582,5.5794,5.0070,5.1993,-10.9548,5.4053,13.2066,16.8453,2.5327,-2.4502,6.4724,7.9566,0.0907,3.0220,8.0012,3.0185,3.3044,22.1893,-0.4729,10.4461
51.0000,30.7608,6.8105,-3.6505,-6.5409,3.9099,8.9019,5.9980,5.4010,7.0976,-8.8417,4.3948,11.8726,18.6494,6.3170,-2.8762,6.3884,8.3446,-0.0638,2.6790,7.9618,2.9308,2.8544,19.2889,-0.5064,10.5845
52.0000,30.2482,2.2961,-3.8741,-5.7742,3.8600,8.5013,6.4623,5.9270,9.1451,-6.4838,3.5306,10.7026,20.5319,10.1856,-3.1885,6.4338,8.8545,-0.1999,2.4854,8.0393,3.0253,2.3670,16.4708,-0.5550,10.8711
53.0000,29.9757,-1.3652,-4.3531,-5.3167,3.7898,8.1969,6.8837,6.4539,11.1524,-4.0880,2.8551,9.7515,22.3358,13.7311,-3.4802,6.5252,9.3986,-0.4111,2.3222,8.1618,3.2148,1.8022,13.8722,-0.6261,11.1883
54.0000,29.8312,-3.6853,-5.1572,-5.2980,3.6455,7.9167,7.1840,6.8652,12.9316,-1.8763,2.3767,9.0409,23.8514,16.6238,-3.8247,6.5770,9.8799,-0.7607,2.0758,8.2527,3.3952,1.1370,11.6012,-0.7109,11.4472
55.0000,29.6537,-4.3948,-6.2749,-5.7594,3.3924,7.5905,7.3047,7.0770,14.3243,-0.0548,2.0623,8.5532,24.8550,18.6495,-4.2680,6.5134,10.2079,-1.2733,1.6609,8.2423,3.4652,0.3655,9.7232,-0.7964,11.6017
56.0000,29.2694,-3.5130,-7.6148,-6.6487,3.0178,7.1628,7.2123,7.0444,15.2208,1.2101,1.8466,8.2359,25.1535,19.7115,-4.8232,6.2793,10.3112,-1.9323,1.0363,8.0797,3.3458,-0.5015,8.2504,-0.8730,11.6444
57.0000,28.5217,-1.3494,-9.0202,-7.8263,2.5313,6.6007,6.9014,6.7580,15.5690,1.8061,1.6548,8.0129,24.6263,19.8057,-5.4688,5.8483,10.1477,-2.6838,0.2112,7.7418,2.9942,-1.4363,7.1387,-0.9355,11.5902
58.0000,27.2924,1.5666,-10.2946,-9.0835,1.9634,5.8984,6.3935,6.2345,15.3735,1.6809,1.4313,7.8022,23.2547,18.9853,-6.1498,5.2278,9.7101,-3.4458,-0.7582,7.2368,2.4108,-2.3945,6.2983,-0.9787,11.4571
59.0000,25.5162,4.6113,-11.2356,-10.1716,1.3625,5.0766,5.7330,5.5076,14.6866,0.8426,1.1633,7.5364,21.1329,17.3308,-6.7829,4.4597,9.0255,-4.1213,-1.7810,6.6029,1.6371,-3.3160,5.6172,-0.9909,11.2508
60.0000,23.1890,7.2139,-11.6702,-10.8398,0.7889,4.1797,4.9813,4.6212,13.5954,-0.6431,0.8911,7.1789,18.4585,14.9375,-7.2674,3.6151,8.1508,-4.6129,-2.7488,5.9017,0.7464,-4.1293,4.9959,-0.9509,10.9600
61.0000,20.3742,8.9883,-11.4865,-10.8781,0.3068,3.2691,4.2077,3.6262,12.2070,-2.6601,0.7024,6.7348,15.5031,11.9208,-7.4999,2.7846,7.1627,-4.8387,-3.5546,5.2070,-0.1705,-4.7592,4.3817,-0.8293,10.5632
62.0000,17.2034,9.8113,-10.6548,-10.1575,-0.0250,2.4168,3.4812,2.5808,10.6349,-5.0503,0.7087,6.2500,12.5694,8.4342,-7.3917,2.0653,6.1465,-4.7456,-4.1091,4.5924,-1.0214,-5.1387,3.7925,-0.5973,10.0421
63.0000,13.8720,9.8305,-9.2337,-8.6605,-0.1622,1.6960,2.8611,1.5492,8.9880,-7.6280,1.0130,5.8014,9.9435,4.6858,-6.8865,1.5451,5.1837,-4.3176,-4.3524,4.1191,-1.7271,-5.2207,3.3190,-0.2382,9.3963
64.0000,10.6243,9.3996,-7.3607,-6.4934,-0.0829,1.1724,2.3910,0.5994,7.3641,-10.1972,1.6771,5.4780,7.8513,0.9414,-5.9740,1.2887,4.3423,-3.5792,-4.2609,3.8277,-2.2318,-4.9895,3.1031,0.2415,8.6516
65.0000,7.7292,8.9624,-5.2282,-3.8767,0.2092,0.8951,2.0955,-0.2037,5.8453,-12.5727,2.6977,5.3590,6.4280,-2.4930,-4.6970,1.3275,3.6698,-2.5915,-3.8476,3.7343,-2.5075,-4.4669,3.2948,0.8073,7.8581
66.0000,5.4463,8.9195,-3.0507,-1.1130,0.6859,0.8882,1.9801,-0.8078,4.4975,-14.6017,3.9985,5.4924,5.7064,-5.3114,-3.1496,1.6555,3.1916,-1.4417,-3.1588,3.8321,-2.5536,-3.7106,4.0003,1.4001,7.0788
67.0000,3.9889,9.5165,-1.0306,1.4626,1.3005,1.1459,2.0341,-1.1821,3.3718,-16.1813,5.4416,5.8820,5.6249,-7.2592,-1.4655,2.2313,2.9127,-0.2296,-2.2672,4.0970,-2.3915,-2.8065,5.2375,1.9489,6.3721
68.0000,3.4912,10.7833,0.6712,3.5389,1.9968,1.6314,2.2358,-1.3245,2.5051,-17.2693,6.8530,6.4837,6.0529,-8.1825,0.2013,2.9877,2.8222,0.9488,-1.2627,4.4953,-2.0577,-1.8539,6.9131,2.3885,5.7749
69.0000,3.9876,12.5405,1.9528,4.8806,2.7192,2.2805,2.5571,-1.2621,1.9217,-17.8845,8.0578,7.2138,6.8264,-8.0608,1.6995,3.8442,2.8995,2.0143,-0.2427,4.9913,-1.5960,-0.9494,8.8316,2.6771,5.2923
70.0000,5.4090,14.4676,2.7766,5.3638,3.4213,3.0104,2.9675,-1.0460,1.6327,-18.0972,8.9141,7.9668,7.7853,-7.0108,2.9033,4.7207,3.1182,2.9143,0.6986,5.5519,-1.0522,-0.1721,10.7346,2.8074,4.8977
71.0000,7.5971,16.2075,3.1609,4.9874,4.0707,3.7319,3.4353,-0.7418,1.6338,-18.0111,9.3383,8.6376,8.8034,-5.2598,3.7307,5.5500,3.4494,3.6253,1.4797,6.1490,-0.4702,0.4261,12.3602,2.8076,4.5424
72.0000,10.3325,17.4775,3.1638,3.8590,4.6494,4.3621,3.9280,-0.4170,1.9029,-17.7418,9.3157,9.1427,9.8041,-3.0953,4.1519,6.2838,3.8611,4.1502,2.0400,6.7575,0.1090,0.8229,13.5050,2.7309,4.1715
73.0000,13.3702,18.1494,2.8641,2.1599,5.1508,4.8355,4.4110,-0.1305,2.3976,-17.3954,8.8954,9.4356,10.7602,-0.8032,4.1888,6.8946,4.3174,4.5096,2.3454,7.3523,0.6472,1.0214,14.0695,2.6376,3.7403
74.0000,16.4713,18.2795,2.3444,0.0998,5.5737,5.1111,4.8468,0.0740,3.0549,-17.0532,8.1712,9.5106,11.6774,1.3872,3.9042,7.3715,4.7769,4.7315,2.3899,7.9051,1.1080,1.0421,14.0740,2.5756,3.2248
75.0000,19.4270,18.0794,1.6804,-2.1278,5.9173,5.1735,5.1969,0.1701,3.7950,-16.7629,7.2555,9.3978,12.5691,3.3385,3.3847,7.7126,5.1925,4.8415,2.1933,8.3831,1.4575,0.9132,13.6393,2.5655,2.6245
76.0000,22.0697,17.8407,0.9373,-4.3759,6.1783,5.0296,5.4256,0.1461,4.5281,-16.5389,6.2532,9.1479,13.4286,5.0127,2.7219,7.9182,5.5153,4.8562,1.7953,8.7511,1.6654,0.6653,12.9412,2.5974,1.9565
77.0000,24.2737,17.8389,0.1715,-6.5559,6.3511,4.7018,5.5058,0.0012,5.1648,-16.3673,5.2419,8.8162,14.2082,6.4523,1.9961,7.9859,5.6996,4.7825,1.2473,8.9766,1.7087,0.3291,12.1536,2.6386,1.2453
78.0000,25.9501,18.2466,-0.5650,-8.6279,6.4323,4.2210,5.4260,-0.2574,5.6286,-16.2159,4.2633,8.4470,14.8113,7.7428,1.2657,7.9101,5.7114,4.6207,0.6044,9.0368,1.5760,-0.0599,11.3988,2.6523,0.5135
79.0000,27.0415,19.0822,-1.2204,-10.5761,6.4264,3.6223,5.1956,-0.6151,5.8661,-16.0430,3.3272,8.0667,15.1012,8.9717,0.5659,7.6860,5.5357,4.3723,-0.0814,8.9252,1.2717,-0.4553,10.7226,2.6179,-0.2224
80.0000,27.5216,20.2074,-1.7431,-12.3788,6.3513,2.9432,4.8463,-1.0478,5.8547,-15.8057,2.4255,7.6856,14.9240,10.1939,-0.0860,7.3170,5.1815,4.0481,-0.7636,8.6562,0.8186,-0.7939,10.1003,2.5482,-0.9493
81.0000,27.3990,21.3720,-2.0842,-13.9829,6.2411,2.2261,4.4297,-1.5189,5.6041,-15.4657,1.5511,7.3077,14.1426,11.4161,-0.6792,6.8219,4.6832,3.6750,-1.4004,8.2653,0.2587,-0.9950,9.4691,2.4940,-1.6486
82.0000,26.7239,22.2889,-2.2036,-15.2933,6.1439,1.5211,4.0092,-1.9785,5.1527,-14.9943,0.7168,6.9437,12.6725,12.5995,-1.1975,6.2395,4.0953,3.2982,-1.9516,7.8046,-0.3506,-0.9672,8.7747,2.5350,-2.2865
83.0000,25.5900,22.7150,-2.0753,-16.1790,6.1146,0.8877,3.6489,-2.3668,4.5583,-14.3755,-0.0340,6.6225,10.5119,13.6776,-1.6108,5.6281,3.4843,2.9772,-2.3746,7.3343,-0.9424,-0.6231,8.0117,2.7568,-2.8085
84.0000,24.1289,22.5123,-1.6922,-16.4963,6.2045,0.3924,3.4007,-2.6235,3.8883,-13.6105,-0.6258,6.3941,7.7576,14.5806,-1.8728,5.0581,2.9159,2.7775,-2.6231,6.9119,-1.4502,0.0998,7.2439,3.2219,-3.1432
85.0000,22.4914,21.6737,-1.0654,-16.1212,6.4482,0.1009,3.2942,-2.7009,3.2087,-12.7212,-0.9628,6.3224,4.6040,15.2548,-1.9272,4.6009,2.4443,2.7570,-2.6499,6.5819,-1.8175,1.2184,6.5942,3.9429,-3.2156
86.0000,20.8216,20.3081,-0.2224,-14.9821,6.8534,0.0657,3.3298,-2.5782,2.5779,-11.7520,-0.9485,6.4680,1.3233,15.6721,-1.7206,4.3136,2.1023,2.9531,-2.4139,6.3677,-2.0078,2.6875,6.2071,4.8666,-2.9689
87.0000,19.2267,18.5937,0.7979,-13.0829,7.3949,0.3127,3.4784,-2.2714,2.0427,-10.7680,-0.5119,6.8662,-1.7696,15.8257,-1.2194,4.2266,1.8979,3.3709,-1.8914,6.2686,-2.0107,4.3952,6.1984,5.8758,-2.3858
88.0000,17.7545,16.7179,1.9491,-10.5107,8.0151,0.8307,3.6870,-1.8362,1.6392,-9.8490,0.3700,7.5065,-4.3602,15.7174,-0.4252,4.3347,1.8151,3.9782,-1.0872,6.2616,-1.8446,6.1714,6.6079,6.8087,-1.5050
89.0000,16.3864,14.8256,3.1792,-7.4269,8.6313,1.5668,3.8889,-1.3601,1.3942,-9.0781,1.6571,8.3211,-6.1793,15.3421,0.6155,4.5970,1.8203,4.7064,-0.0428,6.3069,-1.5537,7.8104,7.3742,7.4928,-0.4241
90.0000,15.0494,12.9897,4.4283,-4.0428,9.1489,2.4320,4.0163,-0.9459,1.3266,-8.5284,3.2438,9.1882,-7.0399,14.6786,1.8098,4.9430,1.8710,5.4589,1.1624,6.3566,-1.2011,9.1032,8.3412,7.7831,0.7135
91.0000,13.6469,11.2141,5.6253,-0.5899,9.4764,3.3149,4.0128,-0.6901,1.4456,-8.2487,4.9716,9.9504,-6.8615,13.6925,3.0287,5.2861,1.9244,6.1258,2.4174,6.3635,-0.8579,9.8723,9.2946,7.5949,1.7442
92.0000,12.0980,9.4617,6.6837,2.7103,9.5403,4.1012,3.8415,-0.6618,1.7468,-8.2546,6.6534,10.4445,-5.6779,12.3506,4.1242,5.5397,1.9444,6.5997,3.5938,6.2878,-0.5916,10.0027,10.0178,6.9218,2.5173
93.0000,10.3758,7.6965,7.5006,5.6678,9.2958,4.6939,3.4899,-0.8891,2.2066,-8.5263,8.1044,10.5365,-3.6273,10.6428,4.9525,5.6317,1.9044,6.7922,4.5649,6.1011,-0.4562,9.4593,10.3478,5.8350,2.9258
94.0000,8.5297,5.9220,7.9626,8.1346,8.7311,5.0298,2.9680,-1.3557,2.7776,-9.0148,9.1729,10.1507,-0.9287,8.6045,5.3961,5.5159,1.7871,6.6450,5.2252,5.7871,-0.4851,8.2895,10.2136,4.4627,2.9268
95.0000,6.6850,4.2009,7.9564,10.0041,7.8656,5.0860,2.3034,-2.0088,3.3881,-9.6553,9.7638,9.2865,2.1513,6.3277,5.3807,5.1754,1.5818,6.1358,5.5053,5.3397,-0.6888,6.6089,9.6438,2.9582,2.5459
96.0000,5.0180,2.6503,7.3867,11.2025,6.7431,4.8772,1.5323,-2.7771,3.9485,-10.3844,9.8489,8.0177,5.3351,3.9575,4.8832,4.6204,1.2808,5.2769,5.3799,4.7600,-1.0569,4.5751,8.7443,1.4637,1.8658
97.0000,3.7134,1.4127,6.1956,11.6801,5.4210,4.4441,0.6912,-3.5906,4.3637,-11.1552,9.4632,6.4747,8.3673,1.6703,3.9304,3.8808,0.8776,4.1094,4.8666,4.0535,-1.5642,2.3561,7.6531,0.0817,1.0018
98.0000,2.9162,0.6155,4.3793,11.4053,3.9609,3.8374,-0.1902,-4.3982,4.5493,-11.9468,8.6893,4.8157,11.0405,-0.3604,2.5893,2.9964,0.3672,2.6926,4.0167,3.2291,-2.1780,0.1011,6.4914,-1.1395,0.0735
99.0000,2.6936,0.3320,1.9980,10.3664,2.4203,3.1036,-1.0927,-5.1769,4.4493,-12.7648,7.6350,3.1941,13.2093,-2.0018,0.9520,2.0088,-0.2513,1.0947,2.9019,2.2999,-2.8648,-2.0789,5.3274,-2.2031,-0.8207
100.0000,3.0167,0.5584,-0.8245,8.5804,0.8494,2.2750,-2.0083,-5.9300,4.0480,-13.6336,6.4096,1.7324,14.7929,-3.1924,-0.8796,0.9558,-0.9705,-0.6159,1.6003,1.2850,-3.5955,-4.1183,4.1671,-3.1472,-1.6188
